CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,Borough,GeoID_1,pop,geoid_2,ctname,agg_income,agg_inco_1
"1106","3",Brooklyn,"110600","3110600",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047110600","4305",5477.13077629000,1841331.87641000003,Brooklyn,"36047110600","4558",1400000US36047110600,"Census Tract 1106, Kings County, New York","68577000","16998111"
"1122","3",Brooklyn,"112200","3112200",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047112200","4305",5931.01684485000,1747124.18075000006,Brooklyn,"36047112200","3514",1400000US36047112200,"Census Tract 1122, Kings County, New York","48154000","11658695"
"1124","3",Brooklyn,"112400","3112400",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047112400","4305",5874.91864815000,1914338.82162000006,Brooklyn,"36047112400","4288",1400000US36047112400,"Census Tract 1124, Kings County, New York","75371100","19901858"
"1126","3",Brooklyn,"112600","3112600",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047112600","4305",5460.42104217000,1813472.03368000011,Brooklyn,"36047112600","4368",1400000US36047112600,"Census Tract 1126, Kings County, New York","99778300","38514008"
"1128","3",Brooklyn,"112800","3112800",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047112800","4305",5742.49242695000,1982798.03133999999,Brooklyn,"36047112800","4461",1400000US36047112800,"Census Tract 1128, Kings County, New York","100139500","24337084"
"1132","3",Brooklyn,"113200","3113200",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047113200","4305",7996.13493728000,2109760.02889999980,Brooklyn,"36047113200","2427",1400000US36047113200,"Census Tract 1132, Kings County, New York","50819300","10689788"
"1134","3",Brooklyn,"113400","3113400",,East New York (North),BK0502,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047113400","4305",5266.48489241000,1651198.13070000010,Brooklyn,"36047113400","2658",1400000US36047113400,"Census Tract 1134, Kings County, New York","34440200","8830021"
"1158","3",Brooklyn,"115800","3115800",,East New York (North),BK0502,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047115800","4305",5290.73335857000,1668175.87672999990,Brooklyn,"36047115800","3260",1400000US36047115800,"Census Tract 1158, Kings County, New York","65016400","17461149"
"1160","3",Brooklyn,"116000","3116000",,East New York (North),BK0502,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047116000","4305",5240.89789442000,1629832.62620999990,Brooklyn,"36047116000","2630",1400000US36047116000,"Census Tract 1160, Kings County, New York","51517500","13433531"
"1168","3",Brooklyn,"116800","3116800",,Cypress Hills,BK0501,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047116800","4305",5447.52110870000,1549247.99273999990,Brooklyn,"36047116800","2273",1400000US36047116800,"Census Tract 1168, Kings County, New York","66618900","23190062"
