geoid,ctname,agg_income,agg_income_m
1400000US36005039500,"Census Tract 395, Bronx County, New York",72896200,12195838
1400000US36005039600,"Census Tract 396, Bronx County, New York",86379600,19033675
1400000US36005039700,"Census Tract 397, Bronx County, New York",14882200,3825076
1400000US36005039800,"Census Tract 398, Bronx County, New York",102117000,15521287
1400000US36005039901,"Census Tract 399.01, Bronx County, New York",71921000,13726315
1400000US36005039902,"Census Tract 399.02, Bronx County, New York",86774700,17510882
1400000US36005040100,"Census Tract 401, Bronx County, New York",72776900,15642379
1400000US36005040302,"Census Tract 403.02, Bronx County, New York",83344300,34631965
1400000US36005040303,"Census Tract 403.03, Bronx County, New York",70491200,17581068
1400000US36005040304,"Census Tract 403.04, Bronx County, New York",59014700,12230833
1400000US36005040400,"Census Tract 404, Bronx County, New York",101001600,22576360
1400000US36005040501,"Census Tract 405.01, Bronx County, New York",75483300,16315795
1400000US36005040502,"Census Tract 405.02, Bronx County, New York",133980600,33548803
1400000US36005040600,"Census Tract 406, Bronx County, New York",81649400,16606094
1400000US36005040701,"Census Tract 407.01, Bronx County, New York",63316700,16086518
1400000US36005040702,"Census Tract 407.02, Bronx County, New York",128188600,20378049
1400000US36005040800,"Census Tract 408, Bronx County, New York",86887100,19132176
1400000US36005040900,"Census Tract 409, Bronx County, New York",109761300,19505397
1400000US36005041100,"Census Tract 411, Bronx County, New York",75726000,14352393
1400000US36005041300,"Census Tract 413, Bronx County, New York",219442700,30229754
1400000US36005041400,"Census Tract 414, Bronx County, New York",176111300,51582366
1400000US36005041500,"Census Tract 415, Bronx County, New York",137436800,32499878
1400000US36005041800,"Census Tract 418, Bronx County, New York",91650100,37978392
1400000US36005041900,"Census Tract 419, Bronx County, New York",144952800,27140951
1400000US36005042000,"Census Tract 420, Bronx County, New York",86229000,19781115
1400000US36005042100,"Census Tract 421, Bronx County, New York",121102800,18062318
1400000US36005042200,"Census Tract 422, Bronx County, New York",92691500,19950782
1400000US36005042300,"Census Tract 423, Bronx County, New York",88237700,17268054
1400000US36005042400,"Census Tract 424, Bronx County, New York",72580700,12886486
1400000US36005042500,"Census Tract 425, Bronx County, New York",121009600,24179540
1400000US36005042600,"Census Tract 426, Bronx County, New York",235005200,66130769
1400000US36005042800,"Census Tract 428, Bronx County, New York",105521800,77164334
1400000US36005042901,"Census Tract 429.01, Bronx County, New York",73546300,20794259
1400000US36005042902,"Census Tract 429.02, Bronx County, New York",92380300,16974618
1400000US36005043000,"Census Tract 430, Bronx County, New York",91020300,24367276
1400000US36005043101,"Census Tract 431.01, Bronx County, New York",105990300,30349464
1400000US36005043102,"Census Tract 431.02, Bronx County, New York",84732900,17464481
1400000US36005043400,"Census Tract 434, Bronx County, New York",142617300,26637358
1400000US36005043501,"Census Tract 435.01, Bronx County, New York",14874800,4009931
1400000US36005043502,"Census Tract 435.02, Bronx County, New York", ,**
1400000US36005043503,"Census Tract 435.03, Bronx County, New York", ,**
1400000US36005043600,"Census Tract 436, Bronx County, New York",54718700,14858345
1400000US36005044200,"Census Tract 442, Bronx County, New York",71330100,20839533
1400000US36005044400,"Census Tract 444, Bronx County, New York",136752300,25561519
1400000US36005044800,"Census Tract 448, Bronx County, New York",78067400,17624832
1400000US36005044901,"Census Tract 449.01, Bronx County, New York",99982500,22375099
1400000US36005044902,"Census Tract 449.02, Bronx County, New York",101851200,20259509
1400000US36005045101,"Census Tract 451.01, Bronx County, New York",75685200,22829026
1400000US36005045102,"Census Tract 451.02, Bronx County, New York",96047100,16113791
1400000US36005045600,"Census Tract 456, Bronx County, New York",168927000,54854429
1400000US36005045800,"Census Tract 458, Bronx County, New York",90858900,43355897
1400000US36005046000,"Census Tract 460, Bronx County, New York",62490300,24089763
1400000US36005046203,"Census Tract 462.03, Bronx County, New York",196028200,44123218
1400000US36005046204,"Census Tract 462.04, Bronx County, New York",186367500,35630092
1400000US36005046205,"Census Tract 462.05, Bronx County, New York",116170500,32087604
1400000US36005046206,"Census Tract 462.06, Bronx County, New York",136111700,56664041
1400000US36005046207,"Census Tract 462.07, Bronx County, New York",198420600,49160326
1400000US36005046208,"Census Tract 462.08, Bronx County, New York",133591800,37717565
1400000US36005046209,"Census Tract 462.09, Bronx County, New York",87763600,23023631
1400000US36005048401,"Census Tract 484.01, Bronx County, New York",126625700,25046983
1400000US36005048402,"Census Tract 484.02, Bronx County, New York", ,**
1400000US36005050400,"Census Tract 504, Bronx County, New York", ,**
1400000US36005051601,"Census Tract 516.01, Bronx County, New York",253225500,52533512
1400000US36005051602,"Census Tract 516.02, Bronx County, New York", ,**
1400000US36047000100,"Census Tract 1, Kings County, New York",744719800,249155497
1400000US36047000200,"Census Tract 2, Kings County, New York",29565700,8183024
1400000US36047000301,"Census Tract 3.01, Kings County, New York",572756100,143915770
1400000US36047000501,"Census Tract 5.01, Kings County, New York",356955100,62464829
1400000US36047000502,"Census Tract 5.02, Kings County, New York",302233800,47724197
1400000US36047000700,"Census Tract 7, Kings County, New York",475303700,88729979
1400000US36047000900,"Census Tract 9, Kings County, New York",622795600,158012239
1400000US36047001100,"Census Tract 11, Kings County, New York",149805900,30208156
1400000US36047001300,"Census Tract 13, Kings County, New York",174520500,36402003
1400000US36047001501,"Census Tract 15.01, Kings County, New York",274725700,54803382
1400000US36047001502,"Census Tract 15.02, Kings County, New York",424316300,69377197
1400000US36047001801,"Census Tract 18.01, Kings County, New York", ,**
1400000US36047001802,"Census Tract 18.02, Kings County, New York", ,**
1400000US36047001803,"Census Tract 18.03, Kings County, New York", ,**
1400000US36047001804,"Census Tract 18.04, Kings County, New York", ,**
1400000US36047002000,"Census Tract 20, Kings County, New York",45480800,30292471
1400000US36047002100,"Census Tract 21, Kings County, New York",687427100,121237031
1400000US36047002200,"Census Tract 22, Kings County, New York",93286600,17633932
1400000US36047002300,"Census Tract 23, Kings County, New York",52487500,14007580
1400000US36047002901,"Census Tract 29.01, Kings County, New York",56698900,14098527
1400000US36047003000,"Census Tract 30, Kings County, New York",75266100,19089839
1400000US36047003101,"Census Tract 31.01, Kings County, New York",258177900,55294691
1400000US36047003102,"Census Tract 31.02, Kings County, New York", ,**
1400000US36047003300,"Census Tract 33, Kings County, New York",394921200,73938643
1400000US36047003400,"Census Tract 34, Kings County, New York",160924900,21654301
1400000US36047003500,"Census Tract 35, Kings County, New York",215016000,45310545
1400000US36047003600,"Census Tract 36, Kings County, New York",180279700,25249751
1400000US36047003700,"Census Tract 37, Kings County, New York",396426600,176275874
1400000US36047003800,"Census Tract 38, Kings County, New York",91257400,17221475
1400000US36047003900,"Census Tract 39, Kings County, New York",161636800,29908974
1400000US36047004100,"Census Tract 41, Kings County, New York",345988100,78791990
1400000US36047004300,"Census Tract 43, Kings County, New York",403428200,78315217
1400000US36047004400,"Census Tract 44, Kings County, New York",152212700,22206588
