CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,Borough,GeoID_1,pop,geoid_2,ctname,agg_income,agg_inco_1
"60","3",Brooklyn,"006000","3006000",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047006000","4310",5498.33428968000,1639073.87012999994,Brooklyn,"36047006000","2876",1400000US36047006000,"Census Tract 60, Kings County, New York","135732700","32279998"
"62","3",Brooklyn,"006200","3006200",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047006200","4310",5368.68163423000,1746843.29951000004,Brooklyn,"36047006200","2958",1400000US36047006200,"Census Tract 62, Kings County, New York","111593400","21450557"
"66","3",Brooklyn,"006600","3006600",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047006600","4310",5243.92522082000,1653273.18329000007,Brooklyn,"36047006600","3974",1400000US36047006600,"Census Tract 66, Kings County, New York","181523200","31853776"
"69.01","3",Brooklyn,"006901","3006901",,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),"36047006901","4302",4103.73153681000,801476.27677000000,Brooklyn,"36047006901","1631",1400000US36047006901,"Census Tract 69.01, Kings County, New York","139384700","22871816"
"69.02","3",Brooklyn,"006902","3006902",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047006902","4306",4451.32606237000,1126489.70659999992,Brooklyn,"36047006902","1962",1400000US36047006902,"Census Tract 69.02, Kings County, New York","224139100","51608160"
"70","3",Brooklyn,"007000","3007000",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047007000","4310",7238.16213567000,1588000.48108999990,Brooklyn,"36047007000","2454",1400000US36047007000,"Census Tract 70, Kings County, New York","149819400","43411929"
"71","3",Brooklyn,"007100","3007100",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047007100","4306",5814.35321977000,1840524.26206000010,Brooklyn,"36047007100","4362",1400000US36047007100,"Census Tract 71, Kings County, New York","183477100","79111936"
"72","3",Brooklyn,"007200","3007200",,Sunset Park (West),BK0702,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047007200","4307",3516.86748556000,664162.79054900003,Brooklyn,"36047007200","2082",1400000US36047007200,"Census Tract 72, Kings County, New York","41365900","9446101"
"82","3",Brooklyn,"008200","3008200",,Sunset Park (West),BK0702,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047008200","4307",4989.68700331000,1517026.15149000008,Brooklyn,"36047008200","4008",1400000US36047008200,"Census Tract 82, Kings County, New York","124539800","32792528"
"84","3",Brooklyn,"008400","3008400",,Sunset Park (West),BK0702,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047008400","4307",6552.05577988000,2650333.41121000005,Brooklyn,"36047008400","3311",1400000US36047008400,"Census Tract 84, Kings County, New York","108287300","27159074"
"86","3",Brooklyn,"008600","3008600",,Sunset Park (Central),BK0703,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047008600","4307",4685.24525359000,1221917.02417999995,Brooklyn,"36047008600","0",1400000US36047008600,"Census Tract 86, Kings County, New York",,
"88","3",Brooklyn,"008800","3008800",,Sunset Park (Central),BK0703,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047008800","4307",5710.97898764000,2019986.01821999997,Brooklyn,"36047008800","3258",1400000US36047008800,"Census Tract 88, Kings County, New York","87821000","21044511"
"90.01","3",Brooklyn,"009001","3009001",,Sunset Park (Central),BK0703,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047009001","4307",3678.36730743000,825062.36507000006,Brooklyn,"36047009001","1886",1400000US36047009001,"Census Tract 90.01, Kings County, New York","30254800","7494374"
"90.02","3",Brooklyn,"009002","3009002",,Sunset Park (East)-Borough Park (West),BK1201,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047009002","4312",3612.36654009000,806084.65448200004,Brooklyn,"36047009002","1391",1400000US36047009002,"Census Tract 90.02, Kings County, New York","33973500","8000575"
"92.01","3",Brooklyn,"009201","3009201",,Sunset Park (Central),BK0703,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047009201","4307",3120.20258560000,608662.36615100002,Brooklyn,"36047009201","2087",1400000US36047009201,"Census Tract 92.01, Kings County, New York","57799000","25139837"
"92.02","3",Brooklyn,"009202","3009202",,Sunset Park (East)-Borough Park (West),BK1201,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047009202","4312",3122.44539430000,610211.62158799998,Brooklyn,"36047009202","3424",1400000US36047009202,"Census Tract 92.02, Kings County, New York","79418800","13757121"
"94.01","3",Brooklyn,"009401","3009401",,Sunset Park (Central),BK0703,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047009401","4307",3642.78502807000,812257.42812099995,Brooklyn,"36047009401","3127",1400000US36047009401,"Census Tract 94.01, Kings County, New York","38920200","9993270"
"94.02","3",Brooklyn,"009402","3009402",,Sunset Park (East)-Borough Park (West),BK1201,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047009402","4312",3644.89529631000,813343.44363999995,Brooklyn,"36047009402","3168",1400000US36047009402,"Census Tract 94.02, Kings County, New York","78469300","23166454"
"102","3",Brooklyn,"010200","3010200",,Sunset Park (Central),BK0703,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047010200","4307",5223.37845092000,1640687.82770000002,Brooklyn,"36047010200","6578",1400000US36047010200,"Census Tract 102, Kings County, New York","95318200","22088968"
"104.01","3",Brooklyn,"010401","3010401",,Sunset Park (Central),BK0703,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047010401","4307",3662.09282647000,819191.31120400003,Brooklyn,"36047010401","3015",1400000US36047010401,"Census Tract 104.01, Kings County, New York","44806900","16921368"
"104.02","3",Brooklyn,"010402","3010402",,Sunset Park (East)-Borough Park (West),BK1201,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047010402","4312",3661.85833701000,820199.58795800002,Brooklyn,"36047010402","2965",1400000US36047010402,"Census Tract 104.02, Kings County, New York","35861600","9991535"
"106.01","3",Brooklyn,"010601","3010601",,Sunset Park (Central),BK0703,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047010601","4307",3642.83269420000,811933.33749099995,Brooklyn,"36047010601","3037",1400000US36047010601,"Census Tract 106.01, Kings County, New York","47611800","14643579"
"106.02","3",Brooklyn,"010602","3010602",,Sunset Park (East)-Borough Park (West),BK1201,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047010602","4312",3643.32693663000,812851.24408900004,Brooklyn,"36047010602","2820",1400000US36047010602,"Census Tract 106.02, Kings County, New York","39343600","16673589"
"108.01","3",Brooklyn,"010801","3010801",,Sunset Park (Central),BK0703,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047010801","4307",3643.77041834000,812575.70811400004,Brooklyn,"36047010801","2876",1400000US36047010801,"Census Tract 108.01, Kings County, New York","39131600","12219035"
"108.02","3",Brooklyn,"010802","3010802",,Sunset Park (East)-Borough Park (West),BK1201,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047010802","4312",3642.86936662000,812274.03521300002,Brooklyn,"36047010802","2840",1400000US36047010802,"Census Tract 108.02, Kings County, New York","38690600","11854825"
"110","3",Brooklyn,"011000","3011000",,Sunset Park (East)-Borough Park (West),BK1201,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047011000","4312",5365.02773088000,1699056.63309999998,Brooklyn,"36047011000","2709",1400000US36047011000,"Census Tract 110, Kings County, New York","36158300","7954178"
"112","3",Brooklyn,"011200","3011200",,Sunset Park (East)-Borough Park (West),BK1201,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047011200","4312",5459.47193948000,1843970.96904000011,Brooklyn,"36047011200","6636",1400000US36047011200,"Census Tract 112, Kings County, New York","113435900","23799389"
"114","3",Brooklyn,"011400","3011400",,Sunset Park (East)-Borough Park (West),BK1201,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047011400","4312",5462.28148165000,1806159.21423999988,Brooklyn,"36047011400","4150",1400000US36047011400,"Census Tract 114, Kings County, New York","59544800","19379976"
"116","3",Brooklyn,"011600","3011600",,Sunset Park (East)-Borough Park (West),BK1201,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047011600","4312",5869.31686044000,1724997.62657000008,Brooklyn,"36047011600","5529",1400000US36047011600,"Census Tract 116, Kings County, New York","52110500","14671163"
"118","3",Brooklyn,"011800","3011800",,Sunset Park (Central),BK0703,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),"36047011800","4307",7951.28547705000,2357119.58953000000,Brooklyn,"36047011800","2578",1400000US36047011800,"Census Tract 118, Kings County, New York","52331200","16322821"
